-0.010853	0.059871	0.042087	0.24345	0.24671	0.24605	0.13381	0.079489	0.09641	0.059645
-0.035179	0.09328	0.054554	0.22775	0.26138	0.25229	0.11798	0.086261	0.098351	0.056355
-0.023222	0.066351	0.014426	0.24175	0.24066	0.24162	0.13623	0.078956	0.11632	0.087518
0.035272	0.066198	0.055534	0.25297	0.25499	0.25433	0.12471	0.085836	0.10095	0.034078
-0.066122	0.063615	0.011751	0.23245	0.24433	0.24035	0.1338	0.081016	0.10692	0.16667
-0.029058	0.07907	0.056395	0.25012	0.25589	0.255	0.14061	0.085335	0.10023	0.029274
-0.025926	0.087369	0.047257	0.23886	0.26038	0.25345	0.13043	0.088681	0.10649	0.061538
-0.054643	0.059526	0.0030712	0.23352	0.24508	0.24	0.13015	0.086176	0.11134	0.16645
-0.068794	0.046688	0.009628	0.23709	0.23206	0.23421	0.13555	0.082949	0.10392	0.12052
-0.087945	0.061502	0.023336	0.22098	0.24618	0.24073	0.12221	0.084788	0.097541	0.10026
-0.049537	0.043466	0.016313	0.22154	0.23503	0.23149	0.12226	0.077307	0.093433	0.10134
0.042577	0.094043	0.075074	0.27072	0.26385	0.2665	0.13735	0.085602	0.10776	0.036437
-0.032402	0.079364	0.040124	0.23888	0.25875	0.25242	0.13602	0.086876	0.10782	0.074556
-0.030221	0.068565	0.030686	0.2436	0.24774	0.24655	0.1334	0.082274	0.10573	0.06879
-0.051812	0.076707	0.050997	0.23214	0.25037	0.24728	0.13003	0.082939	0.095335	0.040365
-0.048737	0.068748	0.020053	0.23661	0.24753	0.24364	0.12545	0.080133	0.1027	0.11001
0.019733	0.071957	0.058956	0.25457	0.2524	0.25303	0.13511	0.079308	0.096387	0.05
-0.021167	0.111	0.072223	0.24195	0.26579	0.2596	0.13367	0.087176	0.10438	0.010664
-0.06184	0.065466	0.021093	0.23272	0.24869	0.24387	0.13884	0.081852	0.1067	0.10546
-0.043869	0.078849	0.03438	0.23178	0.25422	0.24691	0.128	0.081126	0.10207	0.060026
-0.092771	0.079933	0.0044482	0.22529	0.25685	0.24481	0.12794	0.083521	0.10817	0.18312
-0.03688	0.032897	0.0042904	0.23156	0.23306	0.23265	0.13063	0.079491	0.10397	0.1443
-0.053436	0.076064	0.025874	0.22998	0.25565	0.24669	0.13126	0.082185	0.10553	0.089859
-0.040183	0.10957	0.058046	0.23236	0.27751	0.26365	0.12562	0.087971	0.10452	0.076065
-0.068472	0.068669	0.037986	0.21976	0.2449	0.24007	0.12014	0.080351	0.092188	0.060345
-0.038276	0.070943	0.030399	0.23175	0.24402	0.24002	0.1304	0.079079	0.10228	0.078797
-0.086987	0.085452	0.041908	0.22879	0.2568	0.25095	0.13308	0.084208	0.10117	0.085207
-0.027031	0.060794	0.030653	0.23609	0.247	0.24361	0.13345	0.083336	0.10394	0.068056
0.010022	0.098964	0.057427	0.25229	0.26893	0.2616	0.14046	0.086984	0.11575	0.093612
-0.045665	0.10598	0.055029	0.23939	0.26782	0.25944	0.13184	0.085497	0.10543	0.063181
-0.070242	0.093875	0.019127	0.22998	0.25671	0.24603	0.12762	0.08279	0.1082	0.1129
-0.085375	0.079754	0.025422	0.23564	0.25227	0.24794	0.13578	0.079772	0.10408	0.14149
-0.017538	0.075659	0.055208	0.2455	0.25549	0.25357	0.13808	0.081462	0.097328	0.032067
-0.063895	0.089437	0.037105	0.23555	0.26227	0.25433	0.13675	0.087815	0.10908	0.14302
