no,alpha,m,theta1,theta2,sigma_xs1,sigma_xs2,sigma_x_id,tax,recovery1,recovery2,iota1,iota2,XD11,XD12,XU11,XU12,K1,c1,c2
30,0.55,0.2,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.055379575,0.051668655,1.788531749,1.544775992,4.626927757,0.540168558,0.69
31,0.7,0,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.004584838,0.004597256,2.251821078,1.854332486,6393.079996,184.9575084,228.125
32,0.7,0.2,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.048940829,0.048313815,1.864169847,1.595098534,38.02214695,2.964620461,3.685
33,0.55,0,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.1,0.03,0.007447638,0.007016756,2.60160921,1.914359164,101.6582725,3.16800156,5.115378906
34,0.55,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.1,0.03,0.035916098,0.033645512,2.330302396,1.814562325,12.05404724,0.814075884,1.234509117
35,0.55,0.2,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.1,0.03,0.047847411,0.044735301,2.250594921,1.784837999,4.486016039,0.44395989,0.646875
36,0.627,0,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.1,0.03,0.004895829,0.004734354,2.718477315,1.939954737,514.0178071,14.76951143,24.30175781
37,0.627,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.1,0.03,0.032464686,0.031176542,2.398642774,1.836237989,36.49426893,2.110861667,3.179705131
38,0.627,0.2,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.1,0.03,0.045924088,0.043975271,2.302956306,1.802998865,10.97802946,0.906877386,1.323538563
39,0.7,0,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.1,0.03,0.002831051,0.002840128,2.874987989,1.973237011,4915.73625,133.1027984,225.2734375
40,0.7,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.1,0.03,0.027159211,0.027020123,2.488523368,1.864102372,162.4436311,8.043475245,12.15734051
41,0.7,0.2,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.1,0.03,0.041408604,0.041017908,2.374280338,1.828950711,35.7735685,2.443374794,3.56984375
42,0.55,0,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.15,0.05,0.005455665,0.005142302,2.817022423,1.975049364,89.81006492,2.569778724,4.6918125
43,0.55,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.15,0.05,0.030590178,0.028689824,2.536762934,1.905873235,11.36117055,0.676865385,1.122281016
44,0.55,0.2,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.15,0.05,0.042005678,0.03932413,2.443432005,1.882100874,4.304182077,0.37122573,0.5865
45,0.627,0,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.15,0.05,0.003505977,0.003391507,2.947541599,1.986545411,441.8972065,11.85439374,22.60986328
46,0.627,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.15,0.05,0.027281683,0.026236501,2.616606589,1.924426592,34.01768535,1.751531822,2.9319359
47,0.627,0.2,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.15,0.05,0.039833792,0.038208055,2.508335909,1.900036213,10.46324335,0.753668269,1.203216875
48,0.7,0,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.15,0.05,0.00191652,0.001923158,3.104670284,1.990926417,4064.1618,103.6163185,209.5898438
49,0.7,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.15,0.05,0.022531752,0.022454848,2.722972856,1.947712053,148.9923056,6.682173325,11.37802381
50,0.7,0.2,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.15,0.05,0.036041647,0.035773826,2.60016833,1.926821638,33.67696184,2.072351415,3.3165
